"filename", "language", "C++", "CMake Cache", "JSON", "CMake", "Markdown", "Log", "Makefile", "C", "Database", "comment", "blank", "total"
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/admin.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/arithmetic.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/arithmetic.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/arithmetic.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/cmdanaly.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/cmdanaly.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/cmdanaly.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/database.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/database.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/database.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/formula.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/formula.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/formula.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/loop.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/loop.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/loop.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/DependInfo.cmake", "CMake", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/DependInfo.cmake", "CMake", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/cmake_clean_target.cmake", "CMake", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 276, 0, 0, 81, 137, 494
"/home/fancy/文档/cpp_project/Magic+/build/src/cmake_install.cmake", "CMake", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"/home/fancy/文档/cpp_project/Magic+/database/database.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"/home/fancy/文档/cpp_project/Magic+/include/Admin.hpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 44
"/home/fancy/文档/cpp_project/Magic+/include/Arithmetic.hpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 46
"/home/fancy/文档/cpp_project/Magic+/include/CmdAnaly.hpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 38
"/home/fancy/文档/cpp_project/Magic+/include/DataBase.hpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 52
"/home/fancy/文档/cpp_project/Magic+/include/Formula.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"/home/fancy/文档/cpp_project/Magic+/include/Loop.hpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"/home/fancy/文档/cpp_project/Magic+/include/OpString.hpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 42
"/home/fancy/文档/cpp_project/Magic+/main.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 25
"/home/fancy/文档/cpp_project/Magic+/src/Admin.cpp", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 103
"/home/fancy/文档/cpp_project/Magic+/src/Arithmetic.cpp", "C++", 255, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 303
"/home/fancy/文档/cpp_project/Magic+/src/CmdAnaly.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"/home/fancy/文档/cpp_project/Magic+/src/DataBase.cpp", "C++", 180, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 221
"/home/fancy/文档/cpp_project/Magic+/src/Formula.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 31
"/home/fancy/文档/cpp_project/Magic+/src/Loop.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 27
"/home/fancy/文档/cpp_project/Magic+/src/OpString.cpp", "C++", 76, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 91
"Total", "-", 1336, 323, 2541, 607, 17, 425, 414, 507, 9, 441, 834, 7454
