"filename", "language", "C++", "Makefile", "CMake", "JSON", "CMake Cache", "Log", "C", "Database", "comment", "blank", "total"
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/DependInfo.cmake", "CMake", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/cmake_clean.cmake", "CMake", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/magicplus.dir/cmake_clean_target.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/DependInfo.cmake", "CMake", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/cmake_clean.cmake", "CMake", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/fancy/文档/cpp_project/Magic+/build/src/CMakeFiles/opstring.dir/cmake_clean_target.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/fancy/文档/cpp_project/Magic+/build/src/Makefile", "Makefile", 0, 216, 0, 0, 0, 0, 0, 0, 69, 111, 396
"/home/fancy/文档/cpp_project/Magic+/build/src/cmake_install.cmake", "CMake", 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"/home/fancy/文档/cpp_project/Magic+/database/database.db", "Database", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"/home/fancy/文档/cpp_project/Magic+/include/Admin.hpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 9, 5, 26
"/home/fancy/文档/cpp_project/Magic+/include/Arithmetic.hpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 8, 5, 45
"/home/fancy/文档/cpp_project/Magic+/include/CmdAnaly.hpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 9, 6, 33
"/home/fancy/文档/cpp_project/Magic+/include/DataBase.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 8, 9, 41
"/home/fancy/文档/cpp_project/Magic+/include/OpString.hpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 8, 6, 39
"/home/fancy/文档/cpp_project/Magic+/main.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 11, 1, 22
"/home/fancy/文档/cpp_project/Magic+/src/Admin.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 8, 3, 53
"/home/fancy/文档/cpp_project/Magic+/src/Arithmetic.cpp", "C++", 200, 0, 0, 0, 0, 0, 0, 0, 20, 29, 249
"/home/fancy/文档/cpp_project/Magic+/src/CmdAnaly.cpp", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 18, 6, 82
"/home/fancy/文档/cpp_project/Magic+/src/DataBase.cpp", "C++", 120, 0, 0, 0, 0, 0, 0, 0, 24, 9, 153
"/home/fancy/文档/cpp_project/Magic+/src/OpString.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 8, 5, 86
"Total", "-", 1110, 340, 541, 2273, 319, 425, 507, 8, 369, 746, 6638
